name,price,chipset,memory,core_clock,boost_clock,color,length
Gigabyte WINDFORCE OC,249.99,GeForce RTX 5050,8.0,2317.0,2587.0,Black,199.0
Gigabyte GAMING OC,269.99,GeForce RTX 5050,8.0,2317.0,2632.0,Black,280.0
Asus DUAL,249.99,GeForce RTX 5050,8.0,2317.0,2602.0,Black,203.0
Asus DUAL OC,249.99,GeForce RTX 5050,8.0,2317.0,2677.0,Black,203.0
Zotac GAMING SOLO,249.99,GeForce RTX 5050,8.0,2317.0,2572.0,Black / Copper,164.0
Asus PRIME,479.99,GeForce RTX 5060 Ti,16.0,2410.0,2602.0,Black,304.0
MSI VENTUS 2X PLUS OC,499.99,GeForce RTX 5060 Ti,16.0,2410.0,2617.0,Black / Gray,227.0
MSI SHADOW 2X OC,299.99,GeForce RTX 5060,8.0,2280.0,2535.0,Black / Silver,197.0
Gigabyte WINDFORCE OC,299.99,GeForce RTX 5060,8.0,2280.0,,Black,199.0
Asus DUAL OC,479.99,GeForce RTX 5060 Ti,16.0,2410.0,2632.0,Black / Silver,229.0
MSI SHADOW 3X OC,829.99,GeForce RTX 5070 Ti,16.0,2300.0,2497.0,Black,303.0
Gigabyte WINDFORCE OC SFF,549.99,GeForce RTX 5070,12.0,2160.0,2542.0,Black,282.0
Asus PRIME OC,589.99,GeForce RTX 5070,12.0,2160.0,,Black / White,306.0
MSI VENTUS 3X OC,789.99,GeForce RTX 5070 Ti,16.0,2300.0,2497.0,Silver / Black,303.0
PNY OC,549.99,GeForce RTX 5070,12.0,2325.0,2587.0,Black,300.0
Asus TUF GAMING OC,1564.99,GeForce RTX 5080,16.0,2300.0,,Black / Silver,348.0
Asus ROG Astral OC,1799.99,GeForce RTX 5080,16.0,2300.0,,Black / Silver,358.0
Asus PRIME OC,1399.99,GeForce RTX 5080,16.0,2300.0,,Black / White,306.0
NVIDIA Founders Edition,,GeForce RTX 5080,16.0,2300.0,2620.0,Black / Gray,304.0
Gigabyte GAMING OC,1525.0,GeForce RTX 5080,16.0,2300.0,,Black,340.0
Asus ROG Astral OC,3359.99,GeForce RTX 5090,32.0,2010.0,2610.0,Black / Silver,358.0
Gigabyte AORUS MASTER,2939.32,GeForce RTX 5090,32.0,2010.0,2655.0,White,360.0
NVIDIA Founders Edition,,GeForce RTX 5090,32.0,2017.0,2407.0,Black / Silver,304.0
MSI VENTUS 2X BLACK OC,449.99,GeForce RTX 4060,8.0,1830.0,2505.0,Black,199.0
Asus DUAL OC V2,369.99,GeForce RTX 4060,8.0,1830.0,2535.0,Black,202.0
Asus DUAL EVO OC,439.99,GeForce RTX 4060,8.0,1830.0,2535.0,Black,227.0
Gigabyte WINDFORCE OC,429.99,GeForce RTX 4060,8.0,1830.0,,Black,192.0
NVIDIA Founders Edition,399.0,GeForce RTX 4060 Ti,8.0,2310.0,2540.0,Black / Silver,244.0
Gigabyte WINDFORCE OC,845.93,GeForce RTX 4070 SUPER,12.0,1980.0,2505.0,Black,261.0
Asus TUF GAMING OC,1117.99,GeForce RTX 4070 Ti SUPER,16.0,2340.0,2670.0,Black,305.0
Gigabyte WINDFORCE OC,820.0,GeForce RTX 4070,12.0,1920.0,2490.0,Black,261.0
PNY VERTO OC,759.99,GeForce RTX 4070 SUPER,12.0,1980.0,2490.0,Black,247.0
NVIDIA Founders Edition,899.0,GeForce RTX 4070,12.0,1920.0,2480.0,Black / Silver,244.0
Asus TUF GAMING OC,1798.99,GeForce RTX 4080 SUPER,16.0,2210.0,2640.0,Black,348.0
NVIDIA Founders Edition,1849.99,GeForce RTX 4080,16.0,2210.0,2510.0,Black / Silver,304.0
Gigabyte WINDFORCE V2,1548.99,GeForce RTX 4080 SUPER,16.0,2210.0,2550.0,Black,330.0
NVIDIA Founders Edition,,GeForce RTX 4080 SUPER,16.0,2210.0,2550.0,Black,304.0
Asus ROG STRIX GAMING OC,1299.99,GeForce RTX 4080 SUPER,16.0,2210.0,2670.0,White,358.0
NVIDIA Founders Edition,2995.99,GeForce RTX 4090,24.0,2230.0,2520.0,Black / Silver,304.0
Asus ROG STRIX GAMING OC,3185.0,GeForce RTX 4090,24.0,2235.0,2640.0,Black,358.0
Asus ROG STRIX GAMING OC,3539.99,GeForce RTX 4090,24.0,2235.0,2640.0,White,358.0
Gigabyte GAMING OC,2915.99,GeForce RTX 4090,24.0,2235.0,,Black,340.0
Zotac GAMING AMP Extreme AIRO,2590.0,GeForce RTX 4090,24.0,2235.0,2580.0,Black / Silver,356.0
MSI VENTUS 2X OC,179.99,GeForce RTX 3050 6GB,6.0,1040.0,1492.0,Black,189.0
Asus DUAL OC,199.97,GeForce RTX 3050 6GB,6.0,1040.0,1537.0,Black,201.0
MSI VENTUS 2X XS OC,219.99,GeForce RTX 3050 8GB,8.0,1550.0,1807.0,Black / Gray,205.0
Gigabyte WINDFORCE OC,270.89,GeForce RTX 3050 6GB,6.0,1040.0,1477.0,Black / Gray,191.0
MSI LP OC,219.98,GeForce RTX 3050 6GB,6.0,1040.0,1492.0,Black,174.0
MSI GeForce RTX 3060 Ventus 2X 12G,299.97,GeForce RTX 3060 12GB,12.0,1320.0,1777.0,Black,235.0
Zotac GAMING Twin Edge,256.98,GeForce RTX 3060 12GB,12.0,1320.0,1777.0,Black,224.0
NVIDIA Founders Edition,489.09,GeForce RTX 3060 Ti,8.0,1410.0,1670.0,Black / Silver,242.0
Sapphire PULSE,379.99,Radeon RX 9060 XT,16.0,2220.0,3290.0,Black,240.0
ASRock Challenger OC,369.99,Radeon RX 9060 XT,16.0,2220.0,3290.0,Black / Silver,249.0
Gigabyte GAMING OC,389.99,Radeon RX 9060 XT,16.0,2220.0,,Black,281.0
XFX Swift OC,389.98,Radeon RX 9060 XT,16.0,2220.0,3320.0,Black,290.0
XFX Swift OC,534.45,Radeon RX 9060 XT,16.0,2220.0,3320.0,White,290.0
Sapphire PULSE,749.99,Radeon RX 9070 XT,16.0,2400.0,2970.0,Black,320.0
Gigabyte GAMING OC,729.99,Radeon RX 9070 XT,16.0,2520.0,3060.0,Black,288.0
Asus PRIME OC,719.99,Radeon RX 9070 XT,16.0,2460.0,3030.0,Black,312.0
ASRock Steel Legend,699.99,Radeon RX 9070 XT,16.0,2400.0,2970.0,White / Gray,298.0
ASRock Challenger,599.99,Radeon RX 9070,16.0,2070.0,2520.0,Black / Silver,290.0
Gigabyte GAMING OC,359.97,Radeon RX 7600 XT,16.0,1720.0,2810.0,Black / Gray,281.0
Asus DUAL EVO OC,274.99,Radeon RX 7600,8.0,1720.0,2715.0,Black,229.0
Gigabyte GAMING OC,369.95,Radeon RX 7600,8.0,1720.0,2755.0,Black / Silver,282.0
Sapphire PULSE,337.33,Radeon RX 7600,8.0,1720.0,2755.0,Black / Red,240.0
XFX Speedster SWFT 210 Core,289.99,Radeon RX 7600,8.0,1875.0,2655.0,Black,241.0
ASRock Challenger OC,399.97,Radeon RX 7700 XT,12.0,1700.0,2584.0,Black,266.0
Gigabyte GAMING OC,,Radeon RX 7700 XT,12.0,1700.0,2599.0,Black,302.0
XFX Speedster SWFT 210 Core,409.99,Radeon RX 7700 XT,12.0,1425.0,2544.0,Black,280.0
XFX Speedster QICK 319 BLACK,569.0,Radeon RX 7700 XT,12.0,1700.0,2599.0,Black,335.0
Sapphire PULSE,633.37,Radeon RX 7700 XT,12.0,1700.0,2544.0,Black / Red,280.0
PowerColor RX7800XT 16G-P,599.99,Radeon RX 7800 XT,16.0,1295.0,2430.0,Black,260.0
Gigabyte GAMING OC,,Radeon RX 7800 XT,16.0,1295.0,2565.0,Black,302.0
XFX Speedster QICK 319 Core,689.0,Radeon RX 7800 XT,16.0,1295.0,2430.0,Black,335.0
Sapphire NITRO+,,Radeon RX 7800 XT,16.0,1295.0,,Black,320.0
Asus DUAL OC,699.0,Radeon RX 7800 XT,16.0,1295.0,2520.0,Black,280.0
ASRock Phantom Gaming OC,899.99,Radeon RX 7900 XTX,24.0,2300.0,2615.0,Black,330.0
XFX Speedster MERC 310 Black Edition,1049.99,Radeon RX 7900 XTX,24.0,2300.0,2615.0,Black / Silver,344.0
XFX Speedster MERC 310,996.87,Radeon RX 7900 XT,20.0,2000.0,2535.0,Black / Silver,344.0
XFX RX-79TMBABF9,700.26,Radeon RX 7900 XT,20.0,2000.0,2400.0,Black,276.0
Sapphire NITRO+,,Radeon RX 7900 XTX,24.0,2300.0,2680.0,Silver / Black,320.0
Sapphire PULSE Low Profile,216.56,Radeon RX 6400,4.0,1923.0,,Black / Red,170.0
XFX Speedster SWFT 105,149.99,Radeon RX 6400,4.0,1923.0,,Black,155.0
ASRock Challenger ITX,191.05,Radeon RX 6400,4.0,1923.0,,Black / Silver,162.0
Gigabyte D6 LP,,Radeon RX 6400,4.0,1923.0,,Black,182.0
PowerColor Low Profile,,Radeon RX 6400,4.0,1923.0,,Black / Silver,155.0
